Episode 1030, mean 100-episode return -985.7
Episode 2940, mean 100-episode return -225.02
Episode 3200, mean 100-episode return -236.53
Episode 3800, mean 100-episode return -192.25
Episode 3810, mean 100-episode return -191.07
Episode 2950, mean 100-episode return -221.32
Episode 3210, mean 100-episode return -241.2
Episode 3820, mean 100-episode return -189.87
Episode 1540, mean 100-episode return -622.65
Episode 2960, mean 100-episode return -221.33
Episode 1530, mean 100-episode return -813.24
Episode 1430, mean 100-episode return -814.9
Episode 3830, mean 100-episode return -188.05
Episode 3220, mean 100-episode return -246.1
Episode 1290, mean 100-episode return -745.81
Episode 2970, mean 100-episode return -218.49
Episode 3840, mean 100-episode return -184.73
Episode 3230, mean 100-episode return -248.76
Episode 2980, mean 100-episode return -216.58
Episode 3850, mean 100-episode return -180.16
Episode 1040, mean 100-episode return -987.5
Episode 1540, mean 100-episode return -802.35
Episode 1550, mean 100-episode return -631.96
Episode 3860, mean 100-episode return -180.62
Episode 2990, mean 100-episode return -216.22
Episode 3240, mean 100-episode return -247.71
Episode 1440, mean 100-episode return -798.65
Episode 3870, mean 100-episode return -179.52
Episode 3000, mean 100-episode return -213.88
Episode 3250, mean 100-episode return -250.04
Episode 1300, mean 100-episode return -747.16
Episode 3010, mean 100-episode return -215.17
Episode 3880, mean 100-episode return -180.92
Episode 3260, mean 100-episode return -246.79
Episode 1550, mean 100-episode return -808.34
Episode 1560, mean 100-episode return -638.73
Episode 3890, mean 100-episode return -182.17
Episode 3020, mean 100-episode return -215.45
Episode 1050, mean 100-episode return -976.97
Episode 3900, mean 100-episode return -181.43
Episode 3270, mean 100-episode return -242.95
Episode 3030, mean 100-episode return -218.33
Episode 1450, mean 100-episode return -792.41
Episode 1310, mean 100-episode return -743.13
Episode 3910, mean 100-episode return -184.53
Episode 3280, mean 100-episode return -242.99
Episode 3040, mean 100-episode return -221.36
Episode 3920, mean 100-episode return -185.22
Episode 1570, mean 100-episode return -625.3
Episode 3050, mean 100-episode return -222.97
Episode 1560, mean 100-episode return -785.15
Episode 3930, mean 100-episode return -186.44
Episode 3290, mean 100-episode return -248.78
Episode 3940, mean 100-episode return -186.24
Episode 3060, mean 100-episode return -220.7
Episode 1460, mean 100-episode return -784.22
Episode 3300, mean 100-episode return -249.57
Episode 1320, mean 100-episode return -731.86
Episode 1580, mean 100-episode return -596.97
Episode 1060, mean 100-episode return -971.01
Episode 3950, mean 100-episode return -185.0
Episode 3070, mean 100-episode return -219.04
Episode 3960, mean 100-episode return -183.88
Episode 3310, mean 100-episode return -252.84
Episode 3080, mean 100-episode return -217.68
Episode 1570, mean 100-episode return -771.28
Episode 3970, mean 100-episode return -186.5
Episode 3090, mean 100-episode return -215.02
Episode 1590, mean 100-episode return -604.18
Episode 3320, mean 100-episode return -254.82
Episode 3980, mean 100-episode return -184.87
Episode 1470, mean 100-episode return -812.33
Episode 3100, mean 100-episode return -213.01
