max_x [-0.3622083] max max 0.5102545213865606
         3341606 function calls (3330980 primitive calls) in 10.461 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.dlopen}
        1    0.000    0.000    0.000    0.000 chebyshev.py:88(<module>)
      321    0.000    0.000    0.000    0.000 rcsetup.py:144(validate_float)
        1    0.000    0.000    0.000    0.000 queue.py:1(<module>)
      121    0.000    0.000    0.000    0.000 _util.py:173(check_random_state)
      285    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.add_docstring}
        6    0.000    0.000    0.000    0.000 textwrap.py:467(indent)
       49    0.000    0.000    0.000    0.000 gaussian_process.py:24(__init__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1596(_make_netmask)
       23    0.000    0.000    0.000    0.000 __init__.py:1212(_fixupParents)
       14    0.000    0.000    0.000    0.000 pathlib.py:51(parse_parts)
        3    0.000    0.000    0.000    0.000 pathlib.py:1241(mkdir)
        1    0.000    0.000    0.000    0.000 core.py:6266(__new__)
        2    0.000    0.000    0.000    0.000 getlimits.py:96(_str_xmin)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:132(_family)
        8    0.000    0.000    0.000    0.000 typing.py:875(__extrahook__)
        1    0.000    0.000    0.000    0.000 commondialog.py:11(<module>)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyplot.py:2078(<listcomp>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3419(setResultsName)
       24    0.000    0.000    0.000    0.000 __init__.py:1268(__init__)
       86    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
       23    0.000    0.000    0.000    0.000 rcsetup.py:47(__init__)
        3    0.000    0.000    0.000    0.000 pathlib.py:1057(home)
        5    0.000    0.000    0.000    0.000 typing.py:668(_tp_cache)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       36    0.000    0.000    0.000    0.000 getlimits.py:69(<lambda>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:120(<listcomp>)
        5    0.000    0.000    0.000    0.000 typing.py:805(_subs_tree)
      218    0.000    0.000    0.000    0.000 typing.py:1089(__eq__)
      549    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:669(create_module)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:3(<module>)
        1    0.000    0.000    0.000    0.000 legend.py:307(Legend)
      121    0.000    0.000    0.000    0.000 pyparsing.py:1361(preParse)
        1    0.000    0.000    0.000    0.000 decomp.py:15(<module>)
       51    0.000    0.000    0.000    0.000 threading.py:1230(current_thread)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        9    0.000    0.000    0.000    0.000 pathlib.py:385(wrapped)
        6    0.000    0.000    0.000    0.000 deprecation.py:37(__call__)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        3    0.000    0.000    0.000    0.000 datetime.py:1369(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1936(frechet_l_gen)
        1    0.000    0.000    0.000    0.000 spines.py:1(<module>)
        2    0.000    0.000    0.000    0.000 deprecation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 response.py:7(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1751(<dictcomp>)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1200(setName)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 data.py:7(<module>)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 numpy_pickle_compat.py:1(<module>)
        6    0.000    0.000    0.000    0.000 patches.py:1815(<listcomp>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:3642(__str__)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
        1    0.000    0.000    0.000    0.000 _cubic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 blocking_input.py:20(<module>)
      144    0.000    0.000    0.000    0.000 pyparsing.py:2226(__hash__)
       11    0.000    0.000    0.000    0.000 decorator.py:152(update)
       17    0.000    0.000    0.000    0.000 cycler.py:112(__init__)
       76    0.000    0.000    0.000    0.000 __init__.py:329(iterable)
        1    0.000    0.000    0.000    0.000 util.py:167(__call__)
      380    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       18    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
        1    0.000    0.000    0.000    0.000 os.py:994(close)
       21    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      529    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       26    0.000    0.000    0.000    0.000 posixpath.py:144(basename)
       29    0.000    0.000    0.000    0.000 _bootlocale.py:23(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
      257    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 pyparsing.py:1863(__radd__)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
      374    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 _tukeylambda_stats.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:910(HTTPPasswordMgrWithPriorAuth)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:448(open)
       49    0.000    0.000    0.000    0.000 logger.py:23(_squeeze_time)
       92    0.000    0.000    0.000    0.000 typing.py:1039(_abc_negative_cache_version)
       10    0.000    0.000    0.000    0.000 pyparsing.py:4004(__init__)
        8    0.000    0.000    0.000    0.000 core.py:8061(__init__)
       32    0.000    0.000    0.000    0.000 warnings.py:449(__enter__)
       63    0.000    0.000    0.000    0.000 rcsetup.py:429(validate_fontsize)
        2    0.000    0.000    0.000    0.000 subprocess.py:1414(wait)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       92    0.000    0.000    0.000    0.000 textwrap.py:479(prefixed_lines)
      233    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       89    0.000    0.000    0.000    0.000 docstring.py:96(copy)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
       63    0.000    0.000    0.000    0.000 threading.py:74(RLock)
        8    0.000    0.000    0.000    0.000 version.py:302(__init__)
       23    0.000    0.000    0.000    0.000 rcsetup.py:57(<dictcomp>)
      215    0.000    0.000    0.000    0.000 typing.py:974(<genexpr>)
        1    0.000    0.000    0.000    0.000 axis.py:687(Axis)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 queues.py:10(<module>)
      172    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 patches.py:1105(Arrow)
        1    0.000    0.000    0.000    0.000 colors.py:89(<dictcomp>)
       77    0.000    0.000    0.000    0.000 __init__.py:870(__getitem__)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 _multivariate.py:1358(__init__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1569(FigureCanvasBase)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1075(_make_netmask)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
       30    0.000    0.000    0.000    0.000 getlimits.py:26(_fr1)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:594(_ReducedHCT_Element)
      224    0.000    0.000    0.000    0.000 patches.py:1822(<genexpr>)
        6    0.000    0.000    0.000    0.000 deprecation.py:54(warn_deprecated)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 synchronize.py:84(_cleanup)
        3    0.000    0.000    0.000    0.000 __init__.py:476(PYFUNCTYPE)
      586    0.000    0.000    0.000    0.000 inspect.py:2813(return_annotation)
        1    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:590(_get_xdg_cache_dir)
       29    0.000    0.000    0.000    0.000 sre_compile.py:393(_generate_overlap_table)
       13    0.000    0.000    0.000    0.000 warnings.py:159(_add_filter)
        1    0.000    0.000    0.000    0.000 backend_managers.py:5(<module>)
        3    0.000    0.000    0.000    0.000 backend_bases.py:3270(export)
       21    0.000    0.000    0.000    0.000 pyparsing.py:2764(__str__)
        4    0.000    0.000    0.000    0.000 deprecation.py:68(_decorate_fun)
        1    0.000    0.000    0.000    0.000 __init__.py:687(get_data_path)
        1    0.000    0.000    0.000    0.000 typing.py:2354(TextIO)
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 _monitor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:107(_WindowsFlavour)
       96    0.000    0.000    0.000    0.000 enum.py:822(_high_bit)
      544    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        2    0.000    0.000    0.000    0.000 common.py:1(<module>)
       38    0.000    0.000    0.000    0.000 colors.py:788(__init__)
        8    0.000    0.000    0.000    0.000 version.py:307(parse)
        8    0.000    0.000    0.000    0.000 warnings.py:143(simplefilter)
        3    0.000    0.000    0.000    0.000 six.py:837(wrapper)
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:656(_get_data_path)
        2    0.000    0.000    0.000    0.000 datetime.py:1049(__new__)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        1    0.000    0.000    0.000    0.000 kdtree.py:176(KDTree)
        1    0.000    0.000    0.000    0.000 widgets.py:23(LockDraw)
        8    0.000    0.000    0.000    0.000 pyparsing.py:4936(<genexpr>)
        2    0.000    0.000    0.000    0.000 tempfile.py:285(rng)
        2    0.000    0.000    0.000    0.000 _compat.py:17(with_metaclass)
       72    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
      155    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 _distr_params.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:354(<listcomp>)
        1    0.000    0.000    0.000    0.000 _cm.py:7(<module>)
       20    0.000    0.000    0.000    0.000 pyparsing.py:1589(resetCache)
      115    0.000    0.000    0.000    0.000 pyparsing.py:2175(__str__)
        2    0.000    0.000    0.000    0.000 random.py:87(__init__)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
        1    0.000    0.000    0.000    0.000 units.py:43(<module>)
      164    0.000    0.000    0.000    0.000 rcsetup.py:399(validate_string)
       49    0.000    0.000    0.000    0.000 process.py:155(daemon)
        8    0.000    0.000    0.000    0.000 core.py:8066(getdoc)
       68    0.000    0.000    0.000    0.000 typing.py:866(_make_subclasshook)
        1    0.000    0.000    0.000    0.000 polyint.py:221(KroghInterpolator)
        6    0.000    0.000    0.000    0.000 pyparsing.py:4934(<lambda>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1718(_parse_hextet)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
      231    0.000    0.000    0.000    0.000 enum.py:594(name)
        1    0.000    0.000    0.000    0.000 win.py:2(<module>)
        2    0.000    0.000    0.000    0.000 _version.py:2(<module>)
        1    0.000    0.000    0.000    0.000 text.py:1980(Annotation)
        7    0.000    0.000    0.000    0.000 pyparsing.py:4088(__init__)
       93    0.000    0.000    0.000    0.000 pyparsing.py:219(__init__)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1866(__init__)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
       49    0.000    0.000    0.000    0.000 parallel.py:694(_terminate_backend)
        1    0.000    0.000    0.000    0.000 dok.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing.py:2340(BinaryIO)
        5    0.000    0.000    0.000    0.000 datetime.py:279(_check_date_fields)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2048(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:210(<listcomp>)
       42    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
        4    0.000    0.000    0.000    0.000 polynomial.py:1071(__init__)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
        1    0.000    0.000    0.000    0.000 lsoda.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1113(ParserElement)
      166    0.000    0.000    0.000    0.000 pyparsing.py:3336(<genexpr>)
        1    0.000    0.000    0.000    0.000 thread.py:4(<module>)
        1    0.000    0.000    0.000    0.000 sf_error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bezier.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _threadsafety.py:1(<module>)
        6    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.generic' objects}
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
      114    0.000    0.000    0.000    0.000 sre_compile.py:102(fixup)
      192    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 spines.py:13(Spine)
        1    0.000    0.000    0.000    0.000 scale.py:582(get_scale_docs)
        1    0.000    0.000    0.000    0.000 _parser.py:574(__init__)
        5    0.000    0.000    0.000    0.000 rcsetup.py:468(validate_whiskers)
       86    0.000    0.000    0.000    0.000 typing.py:518(_get_type_vars)
       49    0.000    0.000    0.000    0.000 bayesian_optimization.py:213(<listcomp>)
       49    0.000    0.000    0.000    0.000 _parallel_backends.py:66(configure)
        1    0.000    0.000    0.000    0.000 csc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _parser.py:300(__init__)
       26    0.000    0.000    0.000    0.000 core.py:55(is_style_file)
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:6(<module>)
       74    0.000    0.000    0.000    0.000 _tqdm.py:194(ema)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1190(__init__)
        1    0.000    0.000    0.000    0.000 numeric.py:2923(<listcomp>)
        5    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
       32    0.000    0.000    0.000    0.000 warnings.py:468(__exit__)
       32    0.000    0.000    0.000    0.000 os.py:742(encode)
        8    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 _differentialevolution.py:4(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:35(__deprecate_private_class)
      204    0.000    0.000    0.000    0.000 patches.py:1815(<genexpr>)
        1    0.000    0.000    0.000    0.000 util.py:151(__init__)
        2    0.000    0.000    0.000    0.000 core.py:2931(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:2710(MaskedArray)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        2    0.000    0.000    0.000    0.000 random.py:96(seed)
       30    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
       69    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
      102    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 relativedelta.py:2(<module>)
        1    0.000    0.000    0.000    0.000 backend_tools.py:562(ToolViewsPositions)
        1    0.000    0.000    0.000    0.000 font_manager.py:939(FontManager)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1251(__init__)
        1    0.000    0.000    0.000    0.000 _solvers.py:1(<module>)
       60    0.000    0.000    0.000    0.000 function_base.py:13(_index_deprecate)
        1    0.000    0.000    0.000    0.000 numerictypes.py:440(_set_array_types)
        6    0.000    0.000    0.000    0.000 pathlib.py:1343(is_dir)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 coo.py:1(<module>)
       12    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
        1    0.000    0.000    0.000    0.000 <string>:5(Ttest_indResult)
        1    0.000    0.000    0.000    0.000 report.py:1(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:2729(parseImpl)
       44    0.000    0.000    0.000    0.000 pyparsing.py:3647(<genexpr>)
        1    0.000    0.000    0.000    0.000 pydoc.py:1676(Helper)
      144    0.000    0.000    0.000    0.000 inspect.py:64(ismodule)
       28    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.empty}
       18    0.000    0.000    0.000    0.000 enum.py:312(__getattr__)
      266    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
        1    0.000    0.000    0.000    0.000 trifinder.py:1(<module>)
        7    0.000    0.000    0.000    0.000 pyparsing.py:3164(__init__)
      100    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
        2    0.000    0.000    0.000    0.000 getlimits.py:251(_get_machar)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
        2    0.000    0.000    0.000    0.000 __init__.py:18(_get_running_interactive_framework)
       17    0.000    0.000    0.000    0.000 cycler.py:55(_process_keys)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        2    0.000    0.000    0.000    0.000 threading.py:757(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:766(_construct_lookups)
        1    0.000    0.000    0.000    0.000 _matrix_io.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1361(datetime)
        1    0.000    0.000    0.000    0.000 _bvp.py:1(<module>)
      160    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:673(__iadd__)
      100    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
        4    0.000    0.000    0.000    0.000 ssl.py:360(__new__)
        1    0.000    0.000    0.000    0.000 core.py:2775(__new__)
        2    0.000    0.000    0.000    0.000 tempfile.py:299(<listcomp>)
       62    0.000    0.000    0.000    0.000 numerictypes.py:127(english_lower)
        1    0.000    0.000    0.000    0.000 _base.py:13(<module>)
       67    0.000    0.000    0.000    0.000 six.py:110(__init__)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        5    0.000    0.000    0.000    0.000 datetime.py:292(_check_time_fields)
      270    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
       56    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 scale.py:12(ScaleBase)
       15    0.000    0.000    0.000    0.000 rcsetup.py:906(validate_animation_writer_path)
      100    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
       51    0.000    0.000    0.000    0.000 context.py:232(get_context)
        1    0.000    0.000    0.000    0.000 reduction.py:136(set_loky_pickler)
      151    0.000    0.000    0.000    0.000 my_exceptions.py:109(<lambda>)
        8    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        1    0.000    0.000    0.000    0.000 quadrature.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _spectral.py:3(<module>)
        1    0.000    0.000    0.000    0.000 docstring.py:1(<module>)
      126    0.000    0.000    0.000    0.000 deprecation.py:115(deprecated)
        1    0.000    0.000    0.000    0.000 __init__.py:792(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1078(<listcomp>)
       66    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        2    0.000    0.000    0.000    0.000 arrayprint.py:450(decorating_function)
       23    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
        1    0.000    0.000    0.000    0.000 dia.py:1(<module>)
       35    0.000    0.000    0.000    0.000 datetime.py:262(_check_int_field)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        1    0.000    0.000    0.000    0.000 table.py:204(Table)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1298(addParseAction)
      100    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      100    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      100    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
        2    0.000    0.000    0.000    0.000 __init__.py:175(compare_versions)
       27    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        2    0.000    0.000    0.000    0.000 threading.py:512(set)
        1    0.000    0.000    0.000    0.000 _testutils.py:4(<module>)
       14    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        1    0.000    0.000    0.000    0.000 colors.py:73(__init__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:4910(<lambda>)
       25    0.000    0.000    0.000    0.000 ipaddress.py:476(_prefix_from_prefix_string)
       38    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       29    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
        1    0.000    0.000    0.000    0.000 _trustregion_exact.py:1(<module>)
       47    0.000    0.000    0.000    0.000 pyparsing.py:2453(parseImpl)
       55    0.000    0.000    0.000    0.000 rcsetup.py:667(__call__)
        1    0.000    0.000    0.000    0.000 lobpcg.py:11(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:746(__exit__)
        1    0.000    0.000    0.000    0.000 _tqdm.py:112(tqdm)
        6    0.000    0.000    0.000    0.000 core.py:1145(__init__)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 cloudpickle_wrapper.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fd8596778c8}
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:104(FullHessianUpdateStrategy)
        7    0.000    0.000    0.000    0.000 _parser.py:315(_convert)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1245(IPv4Address)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
       78    0.000    0.000    0.000    0.000 _internal.py:726(<genexpr>)
        1    0.000    0.000    0.000    0.000 datetime.py:531(__neg__)
        2    0.000    0.000    0.000    0.000 datetime.py:689(__new__)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:22(<module>)
       28    0.000    0.000    0.000    0.000 posixpath.py:232(expanduser)
       86    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2660(genhalflogistic_gen)
       11    0.000    0.000    0.000    0.000 pyparsing.py:4718(_escapeRegexRangeChars)
        2    0.000    0.000    0.000    0.000 __init__.py:666(get_candidate_paths)
       39    0.000    0.000    0.000    0.000 __init__.py:1598(_preprocess_data)
        1    0.000    0.000    0.000    0.000 arrayprint.py:685(_formatArray)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:204(_sanity_check)
       10    0.000    0.000    0.000    0.000 {built-in method posix.close}
      137    0.000    0.000    0.000    0.000 pyparsing.py:2083(setWhitespaceChars)
        1    0.000    0.000    0.000    0.000 _decomp_ldl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tqdm_gui.py:9(<module>)
        9    0.000    0.000    0.000    0.000 typing.py:498(__init__)
        1    0.000    0.000    0.000    0.000 format.py:156(<module>)
       60    0.000    0.000    0.000    0.000 numeric.py:1927(isscalar)
        6    0.000    0.000    0.000    0.000 pathlib.py:1153(stat)
      105    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
       72    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
      262    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 transforms.py:2084(IdentityTransform)
      148    0.000    0.000    0.000    0.000 rcsetup.py:52(func)
       86    0.000    0.000    0.000    0.000 rcsetup.py:201(validate_int)
       11    0.000    0.000    0.000    0.000 decorator.py:177(<listcomp>)
        1    0.000    0.000    0.000    0.000 decomp_svd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:3080(view)
       16    0.000    0.000    0.000    0.000 random.py:255(choice)
        1    0.000    0.000    0.000    0.000 _posix_reduction.py:9(<module>)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
      186    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _parser.py:1359(_tzparser)
        1    0.000    0.000    0.000    0.000 patches.py:3901(FancyArrowPatch)
       45    0.000    0.000    0.000    0.000 docstring.py:44(update)
        1    0.000    0.000    0.000    0.000 pickle.py:986(_Unpickler)
       62    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
        1    0.000    0.000    0.000    0.000 bsr.py:23(bsr_matrix)
        1    0.000    0.000    0.000    0.000 inspect.py:2390(_ParameterKind)
       18    0.000    0.000    0.000    0.000 enum.py:65(__init__)
      161    0.000    0.000    0.000    0.000 enum.py:630(<lambda>)
       11    0.000    0.000    0.000    0.000 sre_parse.py:257(getwhile)
        1    0.000    0.000    0.000    0.000 trirefine.py:3(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:2413(FancyBboxPatch)
       15    0.000    0.000    0.000    0.000 pyparsing.py:4170(__str__)
       49    0.000    0.000    0.000    0.000 pyparsing.py:421(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:555(get_home)
        3    0.000    0.000    0.000    0.000 blas.py:343(get_blas_funcs)
       88    0.000    0.000    0.000    0.000 traceback.py:290(walk_stack)
        1    0.000    0.000    0.000    0.000 numerictypes.py:340(_add_integer_aliases)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.000    0.000 sputils.py:2(<module>)
       28    0.000    0.000    0.000    0.000 typing.py:654(_check_generic)
       25    0.000    0.000    0.000    0.000 functools.py:448(lru_cache)
       32    0.000    0.000    0.000    0.000 warnings.py:428(__init__)
       49    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       74    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       77    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 tr_interior_point.py:13(<module>)
        1    0.000    0.000    0.000    0.000 tritools.py:3(<module>)
       27    0.000    0.000    0.000    0.000 __init__.py:956(is_url)
       17    0.000    0.000    0.000    0.000 function_base.py:241(iterable)
       11    0.000    0.000    0.000    0.000 __init__.py:1286(debug)
        1    0.000    0.000    0.000    0.000 tokenize.py:355(detect_encoding)
      2/1    0.000    0.000    0.000    0.000 arrayprint.py:694(recurser)
        1    0.000    0.000    0.000    0.000 _config.py:2(<module>)
        9    0.000    0.000    0.000    0.000 re.py:324(_subx)
       16    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        3    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
       69    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 tricontour.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:25(Collection)
