max_x [-0.3622083] max max 0.5102545213865606
         3341606 function calls (3330980 primitive calls) in 10.461 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      681    0.004    0.000    0.058    0.000 <frozen importlib._bootstrap>:870(_find_spec)
    46042    0.058    0.000    0.058    0.000 {method 'copy' of 'numpy.ndarray' objects}
  656/636    0.001    0.000    0.056    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    29402    0.055    0.000    0.055    0.000 {method 'astype' of 'numpy.ndarray' objects}
   112009    0.035    0.000    0.052    0.000 linalg.py:113(isComplexType)
    60776    0.051    0.000    0.051    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    18264    0.017    0.000    0.047    0.000 fromnumeric.py:1471(ravel)
    81472    0.030    0.000    0.045    0.000 linalg.py:126(_realType)
     1274    0.011    0.000    0.045    0.000 lbfgsb.py:400(__init__)
      111    0.001    0.000    0.044    0.000 _distn_infrastructure.py:706(_construct_doc)
        1    0.000    0.000    0.043    0.043 fixes.py:5(<module>)
     2206    0.002    0.000    0.043    0.000 re.py:286(_compile)
      297    0.016    0.000    0.042    0.000 doccer.py:12(docformat)
     6094    0.007    0.000    0.042    0.000 numeric.py:2891(__enter__)
   148172    0.042    0.000    0.042    0.000 {built-in method builtins.getattr}
    86/76    0.000    0.000    0.041    0.001 <frozen importlib._bootstrap_external>:919(create_module)
    86/76    0.030    0.000    0.040    0.001 {built-in method _imp.create_dynamic}
      660    0.001    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      660    0.002    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
      207    0.001    0.000    0.039    0.000 sre_compile.py:557(compile)
    12176    0.011    0.000    0.038    0.000 function_base.py:1567(place)
        1    0.000    0.000    0.037    0.037 figure.py:12(<module>)
        1    0.000    0.000    0.035    0.035 request.py:68(<module>)
     6190    0.016    0.000    0.034    0.000 shape_base.py:11(atleast_1d)
    45984    0.015    0.000    0.034    0.000 numeric.py:504(asanyarray)
     1008    0.008    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
     9132    0.009    0.000    0.034    0.000 fromnumeric.py:86(take)
     3044    0.002    0.000    0.034    0.000 _continuous_distns.py:141(_pdf)
       11    0.000    0.000    0.034    0.003 artist.py:1511(kwdoc)
        2    0.000    0.000    0.033    0.016 __init__.py:7(<module>)
        1    0.000    0.000    0.033    0.033 _subplots.py:1(<module>)
     3044    0.006    0.000    0.032    0.000 fromnumeric.py:1821(sum)
     3044    0.032    0.000    0.032    0.000 _continuous_distns.py:81(_norm_pdf)
     6094    0.006    0.000    0.031    0.000 numeric.py:2896(__exit__)
      122    0.000    0.000    0.031    0.000 re.py:231(compile)
179229/179090    0.030    0.000    0.031    0.000 {built-in method builtins.issubclass}
       11    0.001    0.000    0.031    0.003 artist.py:1268(pprint_setters)
        1    0.000    0.000    0.030    0.030 contour.py:3(<module>)
       90    0.001    0.000    0.030    0.000 __init__.py:357(namedtuple)
    42958    0.029    0.000    0.029    0.000 linalg.py:211(_assertNdSquareness)
        1    0.000    0.000    0.029    0.029 client.py:69(<module>)
239584/239129    0.028    0.000    0.028    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.027    0.027 collections.py:10(<module>)
        1    0.000    0.000    0.026    0.026 _joblib.py:3(<module>)
        1    0.000    0.000    0.025    0.025 __init__.py:91(<module>)
 1299/966    0.003    0.000    0.025    0.000 inspect.py:2181(_signature_from_callable)
    29089    0.025    0.000    0.025    0.000 linalg.py:103(get_linalg_error_extobj)
    42958    0.025    0.000    0.025    0.000 linalg.py:200(_assertRankAtLeast2)
     1274    0.003    0.000    0.025    0.000 interface.py:144(__init__)
        1    0.000    0.000    0.024    0.024 _axes.py:1(<module>)
    12176    0.024    0.000    0.024    0.000 {built-in method numpy.core.multiarray._insert}
        1    0.000    0.000    0.024    0.024 rcsetup.py:15(<module>)
    12188    0.022    0.000    0.023    0.000 numeric.py:2592(geterr)
     3044    0.007    0.000    0.023    0.000 twodim_base.py:197(diag)
        1    0.000    0.000    0.022    0.022 __init__.py:110(<module>)
     9132    0.005    0.000    0.022    0.000 fromnumeric.py:1577(nonzero)
        1    0.000    0.000    0.022    0.022 text.py:3(<module>)
     3044    0.009    0.000    0.022    0.000 linalg.py:217(_assertFinite)
      111    0.002    0.000    0.022    0.000 _distn_infrastructure.py:626(_construct_argparser)
     1274    0.002    0.000    0.022    0.000 sputils.py:211(isshape)
      207    0.001    0.000    0.021    0.000 sre_parse.py:844(parse)
     1274    0.004    0.000    0.020    0.000 parallel.py:209(__init__)
        1    0.000    0.000    0.020    0.020 fontconfig_pattern.py:7(<module>)
        1    0.000    0.000    0.020    0.020 __init__.py:634(<module>)
    85232    0.020    0.000    0.020    0.000 numerictypes.py:936(<listcomp>)
        2    0.000    0.000    0.019    0.010 __init__.py:45(<module>)
     9132    0.019    0.000    0.019    0.000 {method 'take' of 'numpy.ndarray' objects}
  460/207    0.001    0.000    0.018    0.000 sre_parse.py:407(_parse_sub)
    93192    0.018    0.000    0.018    0.000 {method 'get' of 'dict' objects}
82218/82114    0.016    0.000    0.018    0.000 {built-in method builtins.isinstance}
     1274    0.006    0.000    0.018    0.000 _parallel_backends.py:187(get_nested_backend)
      966    0.007    0.000    0.017    0.000 inspect.py:2100(_signature_from_function)
  514/216    0.007    0.000    0.017    0.000 sre_parse.py:470(_parse)
        1    0.000    0.000    0.017    0.017 parser.py:5(<module>)
      340    0.002    0.000    0.017    0.000 _util.py:269(getargspec_no_self)
        1    0.000    0.000    0.017    0.017 feedparser.py:20(<module>)
        1    0.000    0.000    0.017    0.017 pyparsing.py:76(<module>)
        1    0.000    0.000    0.017    0.017 _distn_infrastructure.py:5(<module>)
      207    0.000    0.000    0.017    0.000 sre_compile.py:542(_code)
       12    0.002    0.000    0.017    0.001 artist.py:1179(_get_setters_and_targets)
     1274    0.003    0.000    0.016    0.000 bayesian_optimization.py:226(<genexpr>)
     5096    0.008    0.000    0.016    0.000 fromnumeric.py:2651(ndim)
    19586    0.016    0.000    0.016    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      380    0.000    0.000    0.016    0.000 inspect.py:3055(signature)
       27    0.000    0.000    0.016    0.001 __init__.py:1056(rc_params_from_file)
        1    0.000    0.000    0.015    0.015 __init__.py:266(<module>)
        1    0.000    0.000    0.015    0.015 parallel.py:3(<module>)
      380    0.000    0.000    0.015    0.000 inspect.py:2803(from_callable)
    12255    0.015    0.000    0.015    0.000 {built-in method builtins.abs}
      410    0.001    0.000    0.015    0.000 artist.py:1142(get_valid_values)
      586    0.003    0.000    0.015    0.000 inspect.py:1087(getfullargspec)
        1    0.000    0.000    0.015    0.015 _internal.py:6(<module>)
    13918    0.014    0.000    0.014    0.000 kernels.py:137(set_params)
        1    0.000    0.000    0.014    0.014 cm.py:19(<module>)
     2548    0.003    0.000    0.014    0.000 sputils.py:189(isintlike)
        1    0.000    0.000    0.014    0.014 basic.py:5(<module>)
     1225    0.003    0.000    0.013    0.000 parallel.py:264(delayed)
        1    0.000    0.000    0.013    0.013 core.py:12(<module>)
     3044    0.013    0.000    0.013    0.000 _distn_infrastructure.py:878(_open_support_mask)
        2    0.000    0.000    0.013    0.007 __init__.py:57(<module>)
     3063    0.003    0.000    0.013    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.013    0.013 core.py:151(load_base_library)
        1    0.000    0.000    0.013    0.013 core.py:182(read_style_directory)
        1    0.000    0.000    0.013    0.013 __init__.py:220(<module>)
  963/207    0.004    0.000    0.013    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.013    0.013 __init__.py:8(<module>)
       27    0.002    0.000    0.013    0.000 __init__.py:978(_rc_params_in_file)
      656    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.012    0.012 orthogonal.py:72(<module>)
     3044    0.004    0.000    0.012    0.000 fromnumeric.py:1294(diagonal)
     3044    0.012    0.000    0.012    0.000 _distn_infrastructure.py:875(_support_mask)
        1    0.000    0.000    0.012    0.012 __init__.py:184(<module>)
     1795    0.002    0.000    0.012    0.000 __init__.py:829(__setitem__)
      549    0.007    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      489    0.000    0.000    0.012    0.000 re.py:179(search)
        1    0.000    0.000    0.012    0.012 _parallel_backends.py:3(<module>)
      698    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:147(__enter__)
     2476    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
      660    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:780(find_spec)
        2    0.000    0.000    0.011    0.006 __init__.py:9(<module>)
      293    0.006    0.000    0.011    0.000 doccer.py:172(indentcount_lines)
      660    0.011    0.000    0.011    0.000 {built-in method _imp.is_frozen}
     5325    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     2514    0.011    0.000    0.011    0.000 {built-in method posix.stat}
     6459    0.003    0.000    0.011    0.000 enum.py:267(__call__)
     3069    0.001    0.000    0.011    0.000 _methods.py:45(_all)
     1509    0.006    0.000    0.011    0.000 functools.py:44(update_wrapper)
     4166    0.004    0.000    0.010    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.010    0.010 utils.py:4(<module>)
        1    0.000    0.000    0.010    0.010 _tqdm.py:9(<module>)
    15755    0.010    0.000    0.010    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.009    0.009 typing.py:1(<module>)
        1    0.000    0.000    0.009    0.009 memory.py:5(<module>)
        1    0.000    0.000    0.009    0.009 _discrete_distns.py:5(<module>)
     1274    0.001    0.000    0.009    0.000 einsumfunc.py:983(einsum)
    12189    0.009    0.000    0.009    0.000 {built-in method numpy.core.umath.seterrobj}
        1    0.000    0.000    0.009    0.009 __init__.py:172(<module>)
        1    0.000    0.000    0.009    0.009 _policybase.py:4(<module>)
       13    0.000    0.000    0.009    0.001 _distn_infrastructure.py:2668(__init__)
        1    0.000    0.000    0.009    0.009 _utils.py:1(<module>)
     3044    0.002    0.000    0.009    0.000 _continuous_distns.py:148(_cdf)
     2548    0.003    0.000    0.008    0.000 six.py:130(callable)
       89    0.002    0.000    0.008    0.000 typing.py:922(__new__)
        1    0.000    0.000    0.008    0.008 __init__.py:4(<module>)
     9132    0.008    0.000    0.008    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
     1098    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.008    0.008 _constrained_layout.py:16(<module>)
        3    0.000    0.000    0.008    0.003 __init__.py:15(<module>)
     1033    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.008    0.008 __init__.py:10(<module>)
        1    0.000    0.000    0.008    0.008 legend.py:22(<module>)
        1    0.000    0.000    0.008    0.008 ssl.py:91(<module>)
        1    0.000    0.000    0.008    0.008 pyplot.py:177(switch_backend)
        1    0.000    0.000    0.008    0.008 textpath.py:1(<module>)
        1    0.000    0.000    0.008    0.008 interpolate.py:2(<module>)
    12900    0.008    0.000    0.008    0.000 {built-in method builtins.hasattr}
     1274    0.008    0.000    0.008    0.000 {built-in method numpy.core.multiarray.c_einsum}
     1323    0.004    0.000    0.008    0.000 parallel.py:78(get_active_backend)
     3044    0.008    0.000    0.008    0.000 {built-in method numpy.core.multiarray.putmask}
        1    0.000    0.000    0.007    0.007 __init__.py:108(import_module)
        1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap>:982(_gcd_import)
     6094    0.006    0.000    0.007    0.000 numeric.py:2887(__init__)
        1    0.000    0.000    0.007    0.007 csr.py:1(<module>)
        1    0.000    0.000    0.007    0.007 backend_tkagg.py:1(<module>)
       50    0.000    0.000    0.007    0.000 _tqdm.py:949(__iter__)
        1    0.000    0.000    0.007    0.007 pyparsing.py:5558(pyparsing_common)
        1    0.000    0.000    0.007    0.007 process.py:44(<module>)
     7392    0.007    0.000    0.007    0.000 {method 'splitlines' of 'str' objects}
