C:\dev\Miniconda3\python.exe C:/dev/master-thesis-code/optimize_cmdargs.py
Running: ['python', 'C:\\dev\\npfl122\\labs\\03\\q_learning.py', '--alpha=0.44872917461108064', '--epsilon=0.07597094937369145', '--episodes=1000']
[2018-11-19 15:11:56,566] Making new env: MountainCarLimit1000-v0
Episode 380, mean 100-episode return -1000.0
Episode 390, mean 100-episode return -1000.0
Episode 400, mean 100-episode return -1000.0
Episode 410, mean 100-episode return -1000.0
Episode 420, mean 100-episode return -1000.0
Episode 430, mean 100-episode return -1000.0
Episode 440, mean 100-episode return -1000.0
Episode 450, mean 100-episode return -999.13
Episode 460, mean 100-episode return -997.55
Episode 470, mean 100-episode return -993.76
Episode 480, mean 100-episode return -993.76
Episode 490, mean 100-episode return -993.76
Episode 500, mean 100-episode return -993.29
Episode 510, mean 100-episode return -993.29
Episode 520, mean 100-episode return -991.6
Episode 530, mean 100-episode return -991.6
Episode 540, mean 100-episode return -988.39
Episode 550, mean 100-episode return -985.37
Episode 560, mean 100-episode return -986.95
Episode 570, mean 100-episode return -988.37
Episode 580, mean 100-episode return -988.37
Episode 590, mean 100-episode return -986.65
Episode 600, mean 100-episode return -987.12
Episode 610, mean 100-episode return -981.27
Episode 620, mean 100-episode return -982.96
Episode 630, mean 100-episode return -982.96
Episode 640, mean 100-episode return -986.17
Episode 650, mean 100-episode return -979.31
Episode 660, mean 100-episode return -978.72
Episode 670, mean 100-episode return -981.09
Episode 680, mean 100-episode return -976.0
Episode 690, mean 100-episode return -977.72
Episode 700, mean 100-episode return -977.72
Episode 710, mean 100-episode return -980.63
Episode 720, mean 100-episode return -980.63
Episode 730, mean 100-episode return -980.63
Episode 740, mean 100-episode return -980.63
Episode 750, mean 100-episode return -991.38
Episode 760, mean 100-episode return -991.97
Episode 770, mean 100-episode return -991.97
Episode 780, mean 100-episode return -994.37
Episode 790, mean 100-episode return -989.9
Episode 800, mean 100-episode return -980.37
Episode 810, mean 100-episode return -983.31
Episode 820, mean 100-episode return -983.31
Episode 830, mean 100-episode return -983.31
Episode 840, mean 100-episode return -983.31
Episode 850, mean 100-episode return -983.31
Episode 860, mean 100-episode return -983.31
Episode 870, mean 100-episode return -979.45
Episode 880, mean 100-episode return -958.55
Episode 890, mean 100-episode return -963.02
Episode 900, mean 100-episode return -972.55
Episode 910, mean 100-episode return -972.55
Episode 920, mean 100-episode return -959.88
Episode 930, mean 100-episode return -939.41
Episode 940, mean 100-episode return -927.82
Episode 950, mean 100-episode return -917.88
Episode 960, mean 100-episode return -917.88
Episode 970, mean 100-episode return -921.74
Episode 980, mean 100-episode return -945.33
Episode 990, mean 100-episode return -922.35
Episode 1000, mean 100-episode return -889.07
Episode 1010, mean 100-episode return -883.32
Episode 1020, mean 100-episode return -895.99
Episode 1030, mean 100-episode return -916.46
Episode 1040, mean 100-episode return -928.05
Episode 1050, mean 100-episode return -937.99
Episode 1060, mean 100-episode return -937.99
Episode 1070, mean 100-episode return -937.99
Episode 1080, mean 100-episode return -937.99
Episode 1090, mean 100-episode return -960.97
Episode 1100, mean 100-episode return -994.25
Finished with: 0

***
b'The mean 100-episode return after evaluation -1000.0\r\n'
*** Reward: -1000.0
Found optimal params [0.79468824 9.50568248]
Running: ['python', 'C:\\dev\\npfl122\\labs\\03\\q_learning.py', '--alpha=0.05', '--epsilon=0.03', '--episodes=1000']
[2018-11-19 15:12:48,902] Making new env: MountainCarLimit1000-v0
Episode 10, mean 100-episode return -1000.0
Episode 20, mean 100-episode return -1000.0
Episode 30, mean 100-episode return -1000.0
Episode 40, mean 100-episode return -1000.0
Episode 50, mean 100-episode return -1000.0
Episode 60, mean 100-episode return -1000.0
Episode 70, mean 100-episode return -997.3428571428572
Episode 80, mean 100-episode return -994.3125
Episode 90, mean 100-episode return -994.9444444444445
Episode 100, mean 100-episode return -990.12
Episode 110, mean 100-episode return -982.59
Episode 120, mean 100-episode return -978.12
Episode 130, mean 100-episode return -970.44
Episode 140, mean 100-episode return -965.25
Episode 150, mean 100-episode return -935.63
Episode 160, mean 100-episode return -919.13
Episode 170, mean 100-episode return -909.47
Episode 180, mean 100-episode return -880.15
Episode 190, mean 100-episode return -847.3
Episode 200, mean 100-episode return -818.81
Episode 210, mean 100-episode return -803.2
Episode 220, mean 100-episode return -771.11
Episode 230, mean 100-episode return -741.22
Episode 240, mean 100-episode return -705.68
Episode 250, mean 100-episode return -698.02
Episode 260, mean 100-episode return -664.58
Episode 270, mean 100-episode return -640.45
Episode 280, mean 100-episode return -628.28
Episode 290, mean 100-episode return -615.35
Episode 300, mean 100-episode return -594.84
Episode 310, mean 100-episode return -558.1
Episode 320, mean 100-episode return -530.33
Episode 330, mean 100-episode return -513.0
Episode 340, mean 100-episode return -493.7
Episode 350, mean 100-episode return -476.82
Episode 360, mean 100-episode return -475.09
Episode 370, mean 100-episode return -457.82
Episode 380, mean 100-episode return -438.86
Episode 390, mean 100-episode return -427.42
Episode 400, mean 100-episode return -426.62
Episode 410, mean 100-episode return -452.97
Episode 420, mean 100-episode return -485.23
Episode 430, mean 100-episode return -494.5
Episode 440, mean 100-episode return -513.36
Episode 450, mean 100-episode return -537.99
Episode 460, mean 100-episode return -574.94
Episode 470, mean 100-episode return -593.09
Episode 480, mean 100-episode return -622.87
Episode 490, mean 100-episode return -659.94
Episode 500, mean 100-episode return -680.08
Episode 510, mean 100-episode return -666.19
Episode 520, mean 100-episode return -662.23
Episode 530, mean 100-episode return -659.03
Episode 540, mean 100-episode return -667.03
Episode 550, mean 100-episode return -649.73
Episode 560, mean 100-episode return -614.53
Episode 570, mean 100-episode return -593.41
